is_positive,text
0,"This is a movie that should have been a mini-series as it tries to get too much information in too small a space. The whole story is constantly being bombarded with sub-plots, character introduction and meaningless pieces information that go nowhere. There is a underlying plot where boy meets a girl, she has doubts but gets married anyhow and then her doubts surface and she goes to see if they are real. They turn out not to be but her husband won't believe that she was not unfaithful and her almost boyfriend doesn't want her as she was not unfaithful to her husband. With that said there are no less than 1000 sub-plots and character introductions that make this plot almost incomprehensible. In the first 15 minutes you are inundated with so many things and situations that you just stop caring. You don't care about any of the confused and screwed up cast that drifts in and out of the story like vultures feeding on a corpse. Each one comes in and takes some interest away from the viewer. After a half-hour, and completely disinterested, I stayed and watched the remaining two and a half hours out of pure morbid curiosity. I couldn't imagine where it was going but like staring at a fire I just couldn't get up and turn it off. The production values are superb but the resulting movie is a waste of time; wash your socks instead."
0,"Aaran is one of the movies where you find the loop holes in Indian Cinema. Here is one good example to show how excellent writers, directors and actors succumb to the producers. Here is one of the most wonderful actors, Mohanlal, acting in a movie about a real story in Kashmir. The seriousness of the film is slaughtered with sub standard comic scenes and songs. There is this character, Havaldar Jaykumar, who in reality, is the son of the producer of the film. Hence, he doesn't have a hair cut despite his officer asking him to do so. This kid doesn't know what is acting and he is the ""hero"" of the movie. God Help Indian Cinema with such producers.<br /><br />This movie is a pathetic display of what happens in Kashmir. A sensible viewer can intuitively understand the constraints of such wonderful writers, actors and directors who want to share their real life experiences. But the unfortunate part is that a movie about the highest ranks in Indian Militia turns out to be a pathetic display that only makes one think that the movie was stupid.<br /><br />We should oust such producers in the film industry and pave way for good cinema."
0,"'The 4th Floor' is a decidedly mediocre film starring Juliette Lewis as a young interior designer with a heck of a problem neighbor. Jane (Lewis) has recently inherited a terrific 5th floor apartment from her grandmother, and per agreement with the landlord, gets a ridiculously low renting rate. Her boyfriend (William Hurt as a creepy weather man) wants her to move in with him, but she wants her own space. So she moves in, and weird stuff starts happening, and because this is a B-grade horror flick, there's a dumb, not-to-be-found-in-reality reason why. As the none-too-intriguing Jane keeps trying to tell others- her boyfriend, the police, coworkers- what's going on, everybody thinks she's losing it. So, of course, she has to face the problem- the lunatic living right below her- alone. Neither scary nor interesting, The movie's single saving grace is Lewis. She's a very fine actress but poorly used here, which is not to say she isn't the best thing about this flick- because she is. She has feral charisma and holds the screen better than a dozen of the silicone bimbos that routinely populate this type of movie. This type of movie, though, is not worthy of her- which is ironic, given that she's probably the only reason anyone would see it."
0,"You might suspect that the plot of this movie was written in the process of filming. It begins as a ""punks versus vigilante"" movie, but in the middle of the film, the plot changes abruptly when the vigilante turns to be an honest man with his honest girl and his honest gym and has to fight the corrupt ""businessmen"" who want to turn the gym down at any cost to build a mall or something. Then, the plot changes again, and we forget about the corrupt guys. The villain now is the friend of the leading man, who thinks he is a Ninja. The guy becomes ""crazy evil"" and wants at any cost to win a Martial Arts Contest. Seeing this movie is like having a nightmare with the television on."
0,"Cronica de un desayuno combines the worst defects of mexican cinema, a rare feat nowadays.<br /><br />It's pretentious: it wants us to believe that it is deep, only because some scene is out-of-focus, another is pseudo-surreal, yet another plays with the Eisenstein-Infante-Caifanes tradition of laughing-crying faces, the edition is fragmented, and it is all so solemn.<br /><br />It has a weak script: the main story hardly develops, so it has other three smaller, needless stories, stuck into it. They are only good to make the film last longer.<br /><br />Most of the acting is bad. A true feat, baring in mind that many of the best known mexican actors were cast.<br /><br />There is an abuse of unnecesary foul language. To the point that the character of Paloma, who symbolizes the dreams of freedom of a child, uses it throughly.<br /><br />It is homophobic. The character played by Eduardo Palomo is the sorriest, and most punished, representation of a transexual I have ever seen.<br /><br />It is very boring. I ended up envying the people that left the theater before the end of the film.<br /><br />Whatever it tries, it has been done better, in Mexico and elsewhere.<br /><br />In other words: ""Para partirte la madre, nada como una mala película"""
0,"Ah Animorphs. I loved the book series and eagerly devoured each one in middle school and when I heard that there was a television adaptation, I was very excited.<br /><br />Boy what a let down the final product was. I think for me, this was the moment when Nickelodeon stopped being about cool programming and more generic.<br /><br />So what was wrong with the series? Let me count the ways: 1. The characters were HORRIFICALLY miscast. In the books, the Animorphs were somewhere between 12-14, the television cast were at least 18. I remember being horrified when I first saw the cast photos.<br /><br />2. Horrific acting/bad writing. I dunno which was to blame so I'm lumping into the lumpy mass that it was. Perhaps it was the fact that the accelerated age of the cast hampered the humor that is at least cute coming out of a 13 year old because Marco - not funny. In fact, I don't remember a single comical moment from the group and there were a few. The actors were certainly not helped by the writing which was bland at its best and head smackingly pathetic at its worst.<br /><br />3. My lord they were stingy with the budget. The final result of the Andalites alone should have convinced Viacom to pull the plug...Their heads had clefts that clearly showed which was the helmet.<br /><br />4. Back to the cast - Rachel by far was the biggest let down, far from being the warrior woman in the books, the best equivalent in the TV series was ""scarecrow"". Also, I know Cassie was an idealist but there is a difference between ""idealist"" and ""idiot"".<br /><br />5. One of the worst opening titles ever. Did the music have to be THAT obvious? 6. Answering question 6, ""yes"" because everything else was dumbed down so why shouldn't the expectedly less intelligent viewers receive a thick as a brick song from a lame rap-rock rip-off or whatever the hell that was.<br /><br />Since then, there have been bigger let downs (Iraq, 2004) but in case I haven't made myself clear - this show sucked and was an abomination to the book series it was supposed to be based from."
0,"This film truly was poor. I went to the theatre expecting something exciting, and instead was afforded the opportunity to hone my ""guess the next plot twist before it happens"" skills. Seriously, the plot was written with an extra thick crayon so everyone could see. Nothing was truly shocking. In fact, even the gore was met with such complete suspension of belief that it really didn't add up to much.<br /><br />The excessive wise cracking and cops talking shop at the crime scenes made it seem all the more phony. And the scene where Lambert's character is struggling with the clues and reaches his ""investigative epiphany"" goes to great lengths to indicate the level of intellect expected from the audience - little.<br /><br />Probably the most annoying aspect of the cinematography was the ""X-Files"" treatment: Every building in the film, whether it's the precinct building, or a house at noon, or a hospital, was suffering from a lack of any discernible lighting (not to mention a lack of 'patients' in the case of the hospital). I don't recall a single scene when someone flipped on a light switch. It sure would have been nice.<br /><br />Mr. Lambert really isn't an Oscar-grade actor, so I suppose you have to take this film for what it's worth. In the end, I've reached the conclusion that the only thing that would make this film seem more entertaining is to watch it after watching ""The Warriors"". Otherwise, you're left with an effort that is dull and unoriginal, and nowhere near the equal of films of the genre such as ""Silence of the Lambs""."
0,"So one day I was in the video store looking for a movie. I came across this and rented it because it was a film I hadn't seen or even heard of.<br /><br />Now I like slasher movies in general, but this is just abysmal, not even good for laughs. Besides being ultra ultra cheap and containing all slasher film cliches and terrible acting it has the most incompetent and inept direction I have ever come across. Now sometimes the aforementioned traits can be present in a film and some enjoyment can still be had, but not here. Painful example of home-made horror."
0,"The movie is nothing extraordinary. As a matter of fact, it is an insult to the horror genre. Nothing about it borders on scary... not even close to the threshold of scary...<br /><br />It's just another case of ""another teenage horror movie""-seen one and you've seen em all. First few minutes in the movie and you'll know what will happen next. The worst part is, the script is blunter than the most recent installment of scary movie. Would have been better if it's written in Spanish. And don't get me started with the inside jokes and punchlines.<br /><br />Though i will give a little credit for the special effects. But trust me, like any other Hollywood made horror movie, CGI's and special effects has little or no effect to a horror movie's ability to scare. In fact, it makes it worse.<br /><br />Between the fresh faced Anita Briem and the spooky location, there's not much to see in this movie."
0,"The most generic, surface-level biography you could hope for. Busey's impersonation of Holly is accurate -- but who wants to hear Gary Busey sing ""Maybe Baby""? Typically, the members of the Hollies are used for comic relief and melodrama (Smith and Stroud, respectively) instead of as people or even characters. When Holly uses a string section, the old jewish-looking guys who come in tell him he's using the same techniques as Mozart. It's just this kind of cheeky statement that makes film biographies like this (and ""Amadeus"", about the aforementioned Mozart) so worthless. Some entertainment can be derived from Holly's excellent styles and songs done in a B-variation."
